Ulasan,Rate,Label,case_folding,token,Normalisasi,Stopwords,Stemmer
hp ori,5.0,positif,hp ori,"['hp', 'ori']","['hp', 'ori']","['hp', 'ori']","['hp', 'ori']"
"Barang OK Sesuai Deskripsi Dan Sesuai Pesanan, Semoga Awet Manfaat Pengiriman Cepat Respon Baik Dan Fast Respon Terimakasih",5.0,positif,barang ok sesuai deskripsi dan sesuai pesanan  semoga awet manfaat pengiriman cepat respon baik dan fast respon terimakasih,"['barang', 'ok', 'sesuai', 'deskripsi', 'dan', 'sesuai', 'pesanan', 'semoga', 'awet', 'manfaat', 'pengiriman', 'cepat', 'respon', 'baik', 'dan', 'fast', 'respon', 'terimakasih']","['barang', 'ok', 'sesuai', 'deskripsi', 'dan', 'sesuai', 'pesanan', 'semoga', 'awet', 'manfaat', 'pengiriman', 'cepat', 'respon', 'baik', 'dan', 'fast', 'respon', 'terima kasih']","['barang', 'sesuai', 'deskripsi', 'sesuai', 'pesanan', 'semoga', 'awet', 'manfaat', 'pengiriman', 'cepat', 'respon', 'fast', 'respon', 'terima kasih']","['barang', 'sesuai', 'deskripsi', 'sesuai', 'pesan', 'moga', 'awet', 'manfaat', 'kirim', 'cepat', 'respon', 'fast', 'respon', 'terima kasih']"
Barangnya original 👍 Kemasan disegel Kelengkapan sesuai Spesifikasi sesuai Berfungsi dengan baik Warna sesuai pesanan Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penjualnya top,4.0,positif,barangnya original   kemasan disegel kelengkapan sesuai spesifikasi sesuai berfungsi dengan baik warna sesuai pesanan penjualnya ramah banget proses pesanan cepat packaging aman   packaging rapi respon penjualnya top,"['barangnya', 'original', 'kemasan', 'disegel', 'kelengkapan', 'sesuai', 'spesifikasi', 'sesuai', 'berfungsi', 'dengan', 'baik', 'warna', 'sesuai', 'pesanan', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barangnya', 'original', 'kemasan', 'disegel', 'kelengkapan', 'sesuai', 'spesifikasi', 'sesuai', 'berfungsi', 'dengan', 'baik', 'warna', 'sesuai', 'pesanan', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barangnya', 'original', 'kemasan', 'disegel', 'kelengkapan', 'sesuai', 'spesifikasi', 'sesuai', 'berfungsi', 'warna', 'sesuai', 'pesanan', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barang', 'original', 'kemas', 'segel', 'lengkap', 'sesuai', 'spesifikasi', 'sesuai', 'fungsi', 'warna', 'sesuai', 'pesan', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'jual', 'top']"
hp berjalan normal garansi sisa 9 bulan. Barangnya original 👍 Ada garansi resmi Kemasan disegel Spesifikasi sesuai Berfungsi dengan baik wl warna tdk sesuai yg diharapkan karena ternyata kehabisan stock,4.0,positif,hp berjalan normal garansi sisa   bulan  barangnya original   ada garansi resmi kemasan disegel spesifikasi sesuai berfungsi dengan baik wl warna tdk sesuai yg diharapkan karena ternyata kehabisan stock,"['hp', 'berjalan', 'normal', 'garansi', 'sisa', 'bulan', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'berfungsi', 'dengan', 'baik', 'wl', 'warna', 'tdk', 'sesuai', 'yg', 'diharapkan', 'karena', 'ternyata', 'kehabisan', 'stock']","['hp', 'berjalan', 'normal', 'garansi', 'sisa', 'bulan', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'berfungsi', 'dengan', 'baik', 'wl', 'warna', 'tidak', 'sesuai', 'yang', 'diharapkan', 'karena', 'ternyata', 'kehabisan', 'stock']","['hp', 'berjalan', 'normal', 'garansi', 'sisa', 'barangnya', 'original', 'garansi', 'resmi', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'berfungsi', 'warna', 'sesuai', 'diharapkan', 'kehabisan', 'stock']","['hp', 'jalan', 'normal', 'garansi', 'sisa', 'barang', 'original', 'garansi', 'resmi', 'kemas', 'segel', 'spesifikasi', 'sesuai', 'fungsi', 'warna', 'sesuai', 'harap', 'habis', 'stock']"
barang ok masih di segel ori terimakasih semuanya,5.0,positif,barang ok masih di segel ori terimakasih semuanya,"['barang', 'ok', 'masih', 'di', 'segel', 'ori', 'terimakasih', 'semuanya']","['barang', 'ok', 'masih', 'di', 'segel', 'ori', 'terima kasih', 'semuanya']","['barang', 'segel', 'ori', 'terima kasih']","['barang', 'segel', 'ori', 'terima kasih']"
"Barang sesuai, respon seller cepat, packing aman, trima kasih",5.0,positif,barang sesuai  respon seller cepat  packing aman  trima kasih,"['barang', 'sesuai', 'respon', 'seller', 'cepat', 'packing', 'aman', 'trima', 'kasih']","['barang', 'sesuai', 'respon', 'seller', 'cepat', 'packing', 'aman', 'terima', 'kasih']","['barang', 'sesuai', 'respon', 'seller', 'cepat', 'packing', 'aman', 'terima', 'kasih']","['barang', 'sesuai', 'respon', 'seller', 'cepat', 'packing', 'aman', 'terima', 'kasih']"
Barang Bagus. Respon Cepat. Kirim cepat. Rekomendasi Seller.!!,5.0,positif,barang bagus  respon cepat  kirim cepat  rekomendasi seller   ,"['barang', 'bagus', 'respon', 'cepat', 'kirim', 'cepat', 'rekomendasi', 'seller']","['barang', 'bagus', 'respon', 'cepat', 'kirim', 'cepat', 'rekomendasi', 'seller']","['barang', 'bagus', 'respon', 'cepat', 'kirim', 'cepat', 'rekomendasi', 'seller']","['barang', 'bagus', 'respon', 'cepat', 'kirim', 'cepat', 'rekomendasi', 'seller']"
"Mnatap,,,",5.0,positif,mnatap   ,['mnatap'],['mantap'],['mantap'],['mantap']
Seperti biasa selalu puas.. sudah sering beli disini. Dan skrng pengiriman sngt cepat dri biasanya.. thx. Bkal beli dsni trus,5.0,positif,seperti biasa selalu puas   sudah sering beli disini  dan skrng pengiriman sngt cepat dri biasanya   thx  bkal beli dsni trus,"['seperti', 'biasa', 'selalu', 'puas', 'sudah', 'sering', 'beli', 'disini', 'dan', 'skrng', 'pengiriman', 'sngt', 'cepat', 'dri', 'biasanya', 'thx', 'bkal', 'beli', 'dsni', 'trus']","['seperti', 'biasa', 'selalu', 'puas', 'sudah', 'sering', 'beli', 'disini', 'dan', 'sekarang', 'pengiriman', 'sangat', 'cepat', 'dari   ', 'biasanya', 'terima kasih', 'bakal', 'beli', 'disini', 'terus']","['puas', 'beli', 'pengiriman', 'cepat', 'dari   ', 'terima kasih', 'beli']","['puas', 'beli', 'kirim', 'cepat', 'dari', 'terima kasih', 'beli']"
Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Ada garansi resmi. Kelengkapan sesuai. Warna sesuai pesanan. Barangnya mulus. Berfungsi dengan baik. Suara jernih. Kamera tajam. Baterai awet. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top.,5.0,positif,barangnya original    kemasan disegel  spesifikasi sesuai   ada garansi resmi  kelengkapan sesuai  warna sesuai pesanan  barangnya mulus  berfungsi dengan baik  suara jernih  kamera tajam  baterai awet  penjualnya ramah banget  proses pesanan cepat  packaging aman    packaging rapi  respon penjualnya top ,"['barangnya', 'original', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'warna', 'sesuai', 'pesanan', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik', 'suara', 'jernih', 'kamera', 'tajam', 'baterai', 'awet', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barangnya', 'original', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'warna', 'sesuai', 'pesanan', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik', 'suara', 'jernih', 'kamera', 'tajam', 'baterai', 'awet', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barangnya', 'original', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'warna', 'sesuai', 'pesanan', 'barangnya', 'mulus', 'berfungsi', 'suara', 'jernih', 'kamera', 'tajam', 'baterai', 'awet', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top']","['barang', 'original', 'kemas', 'segel', 'spesifikasi', 'sesuai', 'garansi', 'resmi', 'lengkap', 'sesuai', 'warna', 'sesuai', 'pesan', 'barang', 'mulus', 'fungsi', 'suara', 'jernih', 'kamera', 'tajam', 'baterai', 'awet', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'jual', 'top']"
Barangnya original 👍.,5.0,positif,barangnya original   ,"['barangnya', 'original']","['barangnya', 'original']","['barangnya', 'original']","['barang', 'original']"
Barangnya original 👍. Ada garansi resmi. Kelengkapan sesuai. Kemasan disegel. Warna sesuai pesanan. Spesifikasi sesuai . Proses pesanan cepat. Packaging aman 🙏.,5.0,positif,barangnya original    ada garansi resmi  kelengkapan sesuai  kemasan disegel  warna sesuai pesanan  spesifikasi sesuai   proses pesanan cepat  packaging aman   ,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai', 'proses', 'pesanan', 'cepat', 'packaging', 'aman']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai', 'proses', 'pesanan', 'cepat', 'packaging', 'aman']","['barangnya', 'original', 'garansi', 'resmi', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai', 'proses', 'pesanan', 'cepat', 'packaging', 'aman']","['barang', 'original', 'garansi', 'resmi', 'lengkap', 'sesuai', 'kemas', 'segel', 'warna', 'sesuai', 'pesan', 'spesifikasi', 'sesuai', 'proses', 'pesan', 'cepat', 'packaging', 'aman']"
Barangnya original 👍. Ada garansi resmi. Warna sesuai pesanan. Spesifikasi sesuai .,5.0,positif,barangnya original    ada garansi resmi  warna sesuai pesanan  spesifikasi sesuai  ,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai']","['barangnya', 'original', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'spesifikasi', 'sesuai']","['barang', 'original', 'garansi', 'resmi', 'warna', 'sesuai', 'pesan', 'spesifikasi', 'sesuai']"
Barangnya original 👍. Spesifikasi sesuai .,5.0,positif,barangnya original    spesifikasi sesuai  ,"['barangnya', 'original', 'spesifikasi', 'sesuai']","['barangnya', 'original', 'spesifikasi', 'sesuai']","['barangnya', 'original', 'spesifikasi', 'sesuai']","['barang', 'original', 'spesifikasi', 'sesuai']"
barang sesuai deskripsi,5.0,positif,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']"
Barangnya original 👍. Ada garansi resmi. Barangnya mulus. Berfungsi dengan baik.,5.0,positif,barangnya original    ada garansi resmi  barangnya mulus  berfungsi dengan baik ,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik']","['barangnya', 'original', 'garansi', 'resmi', 'barangnya', 'mulus', 'berfungsi']","['barang', 'original', 'garansi', 'resmi', 'barang', 'mulus', 'fungsi']"
Barangnya original 👍 Penjualnya ramah banget Proses pesanan cepat,5.0,positif,barangnya original   penjualnya ramah banget proses pesanan cepat,"['barangnya', 'original', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat']","['barangnya', 'original', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat']","['barangnya', 'original', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat']","['barang', 'original', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat']"
Barangnya original 👍. Ada garansi resmi. Kelengkapan sesuai.,5.0,positif,barangnya original    ada garansi resmi  kelengkapan sesuai ,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'kelengkapan', 'sesuai']","['barangnya', 'original', 'garansi', 'resmi', 'kelengkapan', 'sesuai']","['barang', 'original', 'garansi', 'resmi', 'lengkap', 'sesuai']"
respon cepat. barang ori dan cepat sampaiKemasan disegel.,5.0,positif,respon cepat  barang ori dan cepat sampaikemasan disegel ,"['respon', 'cepat', 'barang', 'ori', 'dan', 'cepat', 'sampaikemasan', 'disegel']","['respon', 'cepat', 'barang', 'ori', 'dan', 'cepat', 'sampai kemasan', 'disegel']","['respon', 'cepat', 'barang', 'ori', 'cepat', 'sampai kemasan', 'disegel']","['respon', 'cepat', 'barang', 'ori', 'cepat', 'sampai kemas', 'segel']"
Fast respon and very Recomended,5.0,positif,fast respon and very recomended,"['fast', 'respon', 'and', 'very', 'recomended']","['fast', 'respon', 'and', 'very', 'recomended']","['fast', 'respon', 'very', 'recomended']","['fast', 'respon', 'very', 'recomended']"
"Barang sdh dtng sesuai pesanan,,,",5.0,positif,barang sdh dtng sesuai pesanan   ,"['barang', 'sdh', 'dtng', 'sesuai', 'pesanan']","['barang', 'sudah', 'datang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']"
biarin bintang nyang ngomong ,5.0,positif,biarin bintang nyang ngomong ,"['biarin', 'bintang', 'nyang', 'ngomong']","['biar', 'bintang', 'yang', 'bilang']","['biar', 'bintang', 'bilang']","['biar', 'bintang', 'bilang']"
"barang segel,mantap saudah dicoba",5.0,positif,barang segel mantap saudah dicoba,"['barang', 'segel', 'mantap', 'saudah', 'dicoba']","['barang', 'segel', 'mantap', 'sudah', 'dicoba']","['barang', 'segel', 'mantap', 'dicoba']","['barang', 'segel', 'mantap', 'coba']"
Spesifikasi sesuai ,5.0,positif,spesifikasi sesuai ,"['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']"
barangnya original,5.0,positif,barangnya original,"['barangnya', 'original']","['barangnya', 'original']","['barangnya', 'original']","['barang', 'original']"
"fast respon pake banget, baru pesen beberapa jam kemudian udah sampe",5.0,positif,fast respon pake banget  baru pesen beberapa jam kemudian udah sampe,"['fast', 'respon', 'pake', 'banget', 'baru', 'pesen', 'beberapa', 'jam', 'kemudian', 'udah', 'sampe']","['fast', 'respon', 'pakai', 'banget', 'baru', 'pesan', 'beberapa', 'jam', 'kemudian', 'sudah', 'sampai']","['fast', 'respon', 'pakai', 'banget', 'pesan', 'jam']","['fast', 'respon', 'pakai', 'banget', 'pesan', 'jam']"
mantap sesuai pesanan,5.0,positif,mantap sesuai pesanan,"['mantap', 'sesuai', 'pesanan']","['mantap', 'sesuai', 'pesanan']","['mantap', 'sesuai', 'pesanan']","['mantap', 'sesuai', 'pesan']"
Berfungsi dengan baik,5.0,positif,berfungsi dengan baik,"['berfungsi', 'dengan', 'baik']","['berfungsi', 'dengan', 'baik']",['berfungsi'],['fungsi']
utk barangnya bagus dan no minus. Saya juga Alhamdulillaah dpt charger yg ORI. ,4.0,positif,utk barangnya bagus dan no minus  saya juga alhamdulillaah dpt charger yg ori  ,"['utk', 'barangnya', 'bagus', 'dan', 'no', 'minus', 'saya', 'juga', 'alhamdulillaah', 'dpt', 'charger', 'yg', 'ori']","['untuk', 'barangnya', 'bagus', 'dan', 'tidak', 'minus', 'saya', 'juga', 'alhamdulillaah', 'dapat', 'charger', 'yang', 'ori']","['barangnya', 'bagus', 'minus', 'charger', 'ori']","['barang', 'bagus', 'minus', 'charger', 'ori']"
sudah berlangganan tapi di kasik carger yg tdk ori. eman sih,4.0,positif,sudah berlangganan tapi di kasik carger yg tdk ori  eman sih,"['sudah', 'berlangganan', 'tapi', 'di', 'kasik', 'carger', 'yg', 'tdk', 'ori', 'eman', 'sih']","['sudah', 'berlangganan', 'tetapi', 'di', 'kasik', 'carger', 'yang', 'tidak', 'ori', 'eman', 'sih']","['berlangganan', 'kasik', 'carger', 'ori']","['langgan', 'kasik', 'carger', 'ori']"
ok,2.0,negatif,ok,['ok'],['ok'],[],[]
Barang oke..cuma seller slow respon,5.0,positif,barang oke  cuma seller slow respon,"['barang', 'oke', 'cuma', 'seller', 'slow', 'respon']","['barang', 'oke', 'cuma', 'seller', 'slow', 'respon']","['barang', 'seller', 'slow', 'respon']","['barang', 'seller', 'slow', 'respon']"
"cepet banget sampe nya good job,,kurir baik,barang real pict puasssss bgt pokok nya😍syukaaaaa",5.0,positif,cepet banget sampe nya good job  kurir baik barang real pict puasssss bgt pokok nya syukaaaaa,"['cepet', 'banget', 'sampe', 'nya', 'good', 'job', 'kurir', 'baik', 'barang', 'real', 'pict', 'puasssss', 'bgt', 'pokok', 'nya', 'syukaaaaa']","['cepat', 'banget', 'sampai', 'nya', 'good', 'job', 'kurir', 'baik', 'barang', 'real', 'pict', 'puas', 'banget', 'pokok', 'nya', 'suka']","['cepat', 'banget', 'good', 'job', 'kurir', 'barang', 'real', 'pict', 'puas', 'banget', 'pokok', 'suka']","['cepat', 'banget', 'good', 'job', 'kurir', 'barang', 'real', 'pict', 'puas', 'banget', 'pokok', 'suka']"
"bagus, sangat puas. Barangnya original 👍. Ada garansi resmi. Spesifikasi sesuai . Kelengkapan sesuai. Kemasan disegel. Barangnya mulus. Berfungsi dengan baik.",5.0,positif,bagus  sangat puas  barangnya original    ada garansi resmi  spesifikasi sesuai   kelengkapan sesuai  kemasan disegel  barangnya mulus  berfungsi dengan baik ,"['bagus', 'sangat', 'puas', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik']","['bagus', 'sangat', 'puas', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik']","['bagus', 'puas', 'barangnya', 'original', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'barangnya', 'mulus', 'berfungsi']","['bagus', 'puas', 'barang', 'original', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'lengkap', 'sesuai', 'kemas', 'segel', 'barang', 'mulus', 'fungsi']"
Penjual tdk ramah dan barang tdk sesuai.,1.0,negatif,penjual tdk ramah dan barang tdk sesuai ,"['penjual', 'tdk', 'ramah', 'dan', 'barang', 'tdk', 'sesuai']","['penjual', 'tidak', 'ramah', 'dan', 'barang', 'tidak', 'sesuai']","['penjual', 'ramah', 'barang', 'sesuai']","['jual', 'ramah', 'barang', 'sesuai']"
"Penjual ini memang sok benar,padahal barang yg dikirim sangat tdk sesuai dengan judul. sudah dikasi tau bahwa hp yg dikirim tdk sesuai ,tp masih saja yakin dan keras kepala dan paling benar. yang lain hati2 belanja ditoko ini. sama saja toko ini penipu.",3.0,netral,penjual ini memang sok benar padahal barang yg dikirim sangat tdk sesuai dengan judul  sudah dikasi tau bahwa hp yg dikirim tdk sesuai  tp masih saja yakin dan keras kepala dan paling benar  yang lain hati  belanja ditoko ini  sama saja toko ini penipu ,"['penjual', 'ini', 'memang', 'sok', 'benar', 'padahal', 'barang', 'yg', 'dikirim', 'sangat', 'tdk', 'sesuai', 'dengan', 'judul', 'sudah', 'dikasi', 'tau', 'bahwa', 'hp', 'yg', 'dikirim', 'tdk', 'sesuai', 'tp', 'masih', 'saja', 'yakin', 'dan', 'keras', 'kepala', 'dan', 'paling', 'benar', 'yang', 'lain', 'hati', 'belanja', 'ditoko', 'ini', 'sama', 'saja', 'toko', 'ini', 'penipu']","['penjual', 'ini', 'memang', 'sok', 'benar', 'padahal', 'barang', 'yang', 'dikirim', 'sangat', 'tidak', 'sesuai', 'dengan', 'judul', 'sudah', 'kasih', 'tahu', 'bahwa', 'hp', 'yang', 'dikirim', 'tidak', 'sesuai', 'tetapi', 'masih', 'saja', 'yakin', 'dan', 'keras', 'kepala', 'dan', 'paling', 'benar', 'yang', 'lain', 'hati', 'belanja', 'ditoko', 'ini', 'sama', 'saja', 'toko', 'ini', 'penipu']","['penjual', 'barang', 'dikirim', 'sesuai', 'judul', 'kasih', 'hp', 'dikirim', 'sesuai', 'keras', 'kepala', 'hati', 'belanja', 'ditoko', 'toko', 'penipu']","['jual', 'barang', 'kirim', 'sesuai', 'judul', 'kasih', 'hp', 'kirim', 'sesuai', 'keras', 'kepala', 'hati', 'belanja', 'toko', 'toko', 'tipu']"
"mantap barang sudh sampai puas bangetttt,...🙏😁",5.0,positif,mantap barang sudh sampai puas bangetttt      ,"['mantap', 'barang', 'sudh', 'sampai', 'puas', 'bangetttt']","['mantap', 'barang', 'sudah', 'sampai', 'puas', 'banget']","['mantap', 'barang', 'puas', 'banget']","['mantap', 'barang', 'puas', 'banget']"
Barangnya original 👍,5.0,positif,barangnya original  ,"['barangnya', 'original']","['barangnya', 'original']","['barangnya', 'original']","['barang', 'original']"
sangat mantap kak. pengen beli lagi kalo gtu semoga semuanya amanBarangnya original 👍. Spesifikasi sesuai . Barangnya mulus lecet pemakaian saja.,5.0,positif,sangat mantap kak  pengen beli lagi kalo gtu semoga semuanya amanbarangnya original    spesifikasi sesuai   barangnya mulus lecet pemakaian saja ,"['sangat', 'mantap', 'kak', 'pengen', 'beli', 'lagi', 'kalo', 'gtu', 'semoga', 'semuanya', 'amanbarangnya', 'original', 'spesifikasi', 'sesuai', 'barangnya', 'mulus', 'lecet', 'pemakaian', 'saja']","['sangat', 'mantap', 'kak', 'ingin', 'beli', 'lagi', 'kalau', 'begitu', 'semoga', 'semuanya', 'aman barangnya', 'original', 'spesifikasi', 'sesuai', 'barangnya', 'mulus', 'lecet', 'pemakaian', 'saja']","['mantap', 'kak', 'beli', 'semoga', 'aman barangnya', 'original', 'spesifikasi', 'sesuai', 'barangnya', 'mulus', 'lecet', 'pemakaian']","['mantap', 'kak', 'beli', 'moga', 'aman barang', 'original', 'spesifikasi', 'sesuai', 'barang', 'mulus', 'lecet', 'pakai']"
Spesifikasi sesuai .,5.0,positif,spesifikasi sesuai  ,"['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']"
"bintik jamur kok like new,slow respon nya minta ampun...saya sih review sesuai apa yg diterima aja ya...kemarin2 dapat like new ya saya respon bagus",4.0,positif,bintik jamur kok like new slow respon nya minta ampun   saya sih review sesuai apa yg diterima aja ya   kemarin  dapat like new ya saya respon bagus,"['bintik', 'jamur', 'kok', 'like', 'new', 'slow', 'respon', 'nya', 'minta', 'ampun', 'saya', 'sih', 'review', 'sesuai', 'apa', 'yg', 'diterima', 'aja', 'ya', 'kemarin', 'dapat', 'like', 'new', 'ya', 'saya', 'respon', 'bagus']","['bintik', 'jamur', 'kok', 'like', 'baru', 'slow', 'respon', 'nya', 'minta', 'ampun', 'saya', 'sih', 'review', 'sesuai', 'apa', 'yang', 'diterima', 'saja', 'ya', 'kemarin', 'dapat', 'like', 'baru', 'ya', 'saya', 'respon', 'bagus']","['bintik', 'jamur', 'like', 'slow', 'respon', 'ampun', 'review', 'sesuai', 'diterima', 'kemarin', 'like', 'respon', 'bagus']","['bintik', 'jamur', 'like', 'slow', 'respon', 'ampun', 'review', 'sesuai', 'terima', 'kemarin', 'like', 'respon', 'bagus']"
Barangnya original 👍. Kemasan disegel. Ada garansi resmi.,5.0,positif,barangnya original    kemasan disegel  ada garansi resmi ,"['barangnya', 'original', 'kemasan', 'disegel', 'ada', 'garansi', 'resmi']","['barangnya', 'original', 'kemasan', 'disegel', 'ada', 'garansi', 'resmi']","['barangnya', 'original', 'kemasan', 'disegel', 'garansi', 'resmi']","['barang', 'original', 'kemas', 'segel', 'garansi', 'resmi']"
Biang bos Barangnya original 👍.,5.0,positif,biang bos barangnya original   ,"['biang', 'bos', 'barangnya', 'original']","['bilang', 'bos', 'barangnya', 'original']","['bilang', 'barangnya', 'original']","['bilang', 'barang', 'original']"
mantap gaess sellernya goks barangnya gamengecewakan 😎,5.0,positif,mantap gaess sellernya goks barangnya gamengecewakan  ,"['mantap', 'gaess', 'sellernya', 'goks', 'barangnya', 'gamengecewakan']","['mantap', 'gaess', 'sellernya', 'goks', 'barangnya', 'tidak kecewa']","['mantap', 'sellernya', 'barangnya', 'tidak kecewa']","['mantap', 'sellernya', 'barang', 'tidak kecewa']"
"barang ok,bonusnya bnyak bgt mksh",5.0,positif,barang ok bonusnya bnyak bgt mksh,"['barang', 'ok', 'bonusnya', 'bnyak', 'bgt', 'mksh']","['barang', 'ok', 'bonusnya', 'banyak', 'banget', 'terimakasih']","['barang', 'bonusnya', 'banget', 'terimakasih']","['barang', 'bonus', 'banget', 'terimakasih']"
Barang masih disegel dan sesuai dengan pesanan trima kasih,5.0,positif,barang masih disegel dan sesuai dengan pesanan trima kasih,"['barang', 'masih', 'disegel', 'dan', 'sesuai', 'dengan', 'pesanan', 'trima', 'kasih']","['barang', 'masih', 'disegel', 'dan', 'sesuai', 'dengan', 'pesanan', 'terima', 'kasih']","['barang', 'disegel', 'sesuai', 'pesanan', 'terima', 'kasih']","['barang', 'segel', 'sesuai', 'pesan', 'terima', 'kasih']"
sangat mantap kak,5.0,positif,sangat mantap kak,"['sangat', 'mantap', 'kak']","['sangat', 'mantap', 'kak']","['mantap', 'kak']","['mantap', 'kak']"
"Very recommended. Packing dus, bubblewrap hp tebal, hp sesuai, garansi ada, dan bonus banyak.",5.0,positif,very recommended  packing dus  bubblewrap hp tebal  hp sesuai  garansi ada  dan bonus banyak ,"['very', 'recommended', 'packing', 'dus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'ada', 'dan', 'bonus', 'banyak']","['very', 'rekomendasi', 'packing', 'kardus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'ada', 'dan', 'bonus', 'banyak']","['very', 'rekomendasi', 'packing', 'kardus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'bonus']","['very', 'rekomendasi', 'packing', 'kardus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'bonus']"
